iter: [1/50], train_loss: 9.726757, valid_loss: 11.611703, best_valid_loss: 11.611703, lr: 0.0010000, time: 4562.2080741
iter: [2/50], train_loss: 9.624354, valid_loss: 11.593413, best_valid_loss: 11.593413, lr: 0.0010000, time: 4554.5467446
iter: [3/50], train_loss: 9.566878, valid_loss: 11.440938, best_valid_loss: 11.440938, lr: 0.0010000, time: 4546.3488874
iter: [4/50], train_loss: 9.691163, valid_loss: 11.690938, best_valid_loss: 11.440938, lr: 0.0010000, time: 4557.0785735
iter: [5/50], train_loss: 9.611753, valid_loss: 11.635655, best_valid_loss: 11.440938, lr: 0.0010000, time: 4557.5550659
iter: [6/50], train_loss: 9.582582, valid_loss: 11.715069, best_valid_loss: 11.440938, lr: 0.0010000, time: 4558.7432604
iter: [7/50], train_loss: 9.749358, valid_loss: 11.619868, best_valid_loss: 11.440938, lr: 0.0010000, time: 4561.1920156
iter: [8/50], train_loss: 9.611965, valid_loss: 12.181591, best_valid_loss: 11.440938, lr: 0.0010000, time: 4561.7298777
iter: [9/50], train_loss: 9.707596, valid_loss: 11.380423, best_valid_loss: 11.380423, lr: 0.0010000, time: 4570.0054572
iter: [10/50], train_loss: 9.623847, valid_loss: 12.126933, best_valid_loss: 11.380423, lr: 0.0010000, time: 4582.4371607
iter: [11/50], train_loss: 9.599550, valid_loss: 11.791688, best_valid_loss: 11.380423, lr: 0.0010000, time: 4582.2015073
iter: [12/50], train_loss: 9.595068, valid_loss: 11.448229, best_valid_loss: 11.380423, lr: 0.0010000, time: 4550.8803940
iter: [13/50], train_loss: 9.560600, valid_loss: 11.747964, best_valid_loss: 11.380423, lr: 0.0010000, time: 4554.5367768
iter: [14/50], train_loss: 9.760813, valid_loss: 12.028301, best_valid_loss: 11.380423, lr: 0.0010000, time: 4557.6797740
iter: [15/50], train_loss: 9.678970, valid_loss: 11.766306, best_valid_loss: 11.380423, lr: 0.0010000, time: 4560.9719017
iter: [16/50], train_loss: 9.765179, valid_loss: 11.613919, best_valid_loss: 11.380423, lr: 0.0010000, time: 4559.8544655
iter: [17/50], train_loss: 9.771710, valid_loss: 11.799011, best_valid_loss: 11.380423, lr: 0.0010000, time: 4562.7385051
iter: [18/50], train_loss: 9.749655, valid_loss: 11.916901, best_valid_loss: 11.380423, lr: 0.0010000, time: 4557.5280852
iter: [19/50], train_loss: 9.758118, valid_loss: 11.660896, best_valid_loss: 11.380423, lr: 0.0010000, time: 4560.8402498
iter: [20/50], train_loss: 9.755460, valid_loss: 11.781003, best_valid_loss: 11.380423, lr: 0.0010000, time: 4541.0935640
iter: [21/50], train_loss: 9.749892, valid_loss: 11.701852, best_valid_loss: 11.380423, lr: 0.0010000, time: 4562.7795956
iter: [22/50], train_loss: 9.757277, valid_loss: 11.707166, best_valid_loss: 11.380423, lr: 0.0010000, time: 4538.1815987
iter: [23/50], train_loss: 9.612247, valid_loss: 11.454087, best_valid_loss: 11.380423, lr: 0.0010000, time: 4531.5768526
iter: [24/50], train_loss: 9.772392, valid_loss: 11.604571, best_valid_loss: 11.380423, lr: 0.0010000, time: 4517.5521510
iter: [25/50], train_loss: 9.770056, valid_loss: 11.738467, best_valid_loss: 11.380423, lr: 0.0010000, time: 4527.0303979
iter: [26/50], train_loss: 9.525371, valid_loss: 11.453062, best_valid_loss: 11.380423, lr: 0.0005000, time: 4510.4715202
iter: [27/50], train_loss: 9.421425, valid_loss: 11.434380, best_valid_loss: 11.380423, lr: 0.0005000, time: 4477.7341340
iter: [28/50], train_loss: 9.395512, valid_loss: 11.346341, best_valid_loss: 11.346341, lr: 0.0005000, time: 4516.6332641
iter: [29/50], train_loss: 9.389700, valid_loss: 11.255861, best_valid_loss: 11.255861, lr: 0.0005000, time: 4508.5152192
iter: [30/50], train_loss: 9.393074, valid_loss: 11.321773, best_valid_loss: 11.255861, lr: 0.0005000, time: 4473.6309218
iter: [31/50], train_loss: 6.849108, valid_loss: 3.427845, best_valid_loss: 3.427845, lr: 0.0005000, time: 4520.2829809
iter: [32/50], train_loss: 2.588411, valid_loss: 3.191263, best_valid_loss: 3.191263, lr: 0.0005000, time: 4486.1251907
iter: [33/50], train_loss: 2.358556, valid_loss: 2.896596, best_valid_loss: 2.896596, lr: 0.0005000, time: 4484.2230730
iter: [34/50], train_loss: 2.257452, valid_loss: 2.828919, best_valid_loss: 2.828919, lr: 0.0005000, time: 4463.8256984
iter: [35/50], train_loss: 2.203859, valid_loss: 2.789777, best_valid_loss: 2.789777, lr: 0.0005000, time: 4474.3939018
iter: [36/50], train_loss: 2.155338, valid_loss: 2.720567, best_valid_loss: 2.720567, lr: 0.0005000, time: 4474.8596184
iter: [37/50], train_loss: 2.099991, valid_loss: 2.619686, best_valid_loss: 2.619686, lr: 0.0002500, time: 4483.9845357
iter: [38/50], train_loss: 2.063586, valid_loss: 2.576091, best_valid_loss: 2.576091, lr: 0.0002500, time: 4489.2272530
iter: [39/50], train_loss: 2.036348, valid_loss: 2.582820, best_valid_loss: 2.576091, lr: 0.0002500, time: 4431.5679195
iter: [40/50], train_loss: 2.015672, valid_loss: 2.551025, best_valid_loss: 2.551025, lr: 0.0002500, time: 4507.1705277
iter: [41/50], train_loss: 1.998403, valid_loss: 2.528792, best_valid_loss: 2.528792, lr: 0.0002500, time: 4576.2368166
iter: [42/50], train_loss: 1.978612, valid_loss: 2.499070, best_valid_loss: 2.499070, lr: 0.0002500, time: 4547.8863242
iter: [43/50], train_loss: 1.956150, valid_loss: 2.463905, best_valid_loss: 2.463905, lr: 0.0002500, time: 4533.7004125
iter: [44/50], train_loss: 1.930855, valid_loss: 2.427582, best_valid_loss: 2.427582, lr: 0.0002500, time: 4533.5990207
iter: [45/50], train_loss: 1.906383, valid_loss: 2.397901, best_valid_loss: 2.397901, lr: 0.0002500, time: 4510.3990872
iter: [46/50], train_loss: 1.887961, valid_loss: 2.365174, best_valid_loss: 2.365174, lr: 0.0002500, time: 4512.3351541
iter: [47/50], train_loss: 1.872989, valid_loss: 2.348487, best_valid_loss: 2.348487, lr: 0.0002500, time: 4497.9030199
iter: [48/50], train_loss: 1.859736, valid_loss: 2.332361, best_valid_loss: 2.332361, lr: 0.0002500, time: 4477.9919009
iter: [49/50], train_loss: 1.846745, valid_loss: 2.312088, best_valid_loss: 2.312088, lr: 0.0002500, time: 4459.2349679
iter: [50/50], train_loss: 1.835662, valid_loss: 2.291652, best_valid_loss: 2.291652, lr: 0.0002500, time: 4475.5802307
226304.80362939835
